Notes,Cancer Sites,Cancer Sites Code,Sex,Sex Code,Year,Year Code,Region,Region Code,State,State Code,Count
,Melanoma of the Skin,25010,Female,F,2000,2000,South,CENS-R3,Texas,48,1066
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Arizona,4,321
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Colorado,8,366
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Idaho,16,96
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Montana,30,80
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Nevada,32,144
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,New Mexico,35,136
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Utah,49,165
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Wyoming,56,40
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Alaska,2,24
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,California,6,2330
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Hawaii,15,60
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Oregon,41,393
,Melanoma of the Skin,25010,Female,F,2000,2000,West,CENS-R4,Washington,53,637
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,Connecticut,9,371
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,Maine,23,130
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,Massachusetts,25,634
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,New Hampshire,33,138
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,Rhode Island,44,100
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,Vermont,50,60
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,New Jersey,34,725
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,New York,36,1116
,Melanoma of the Skin,25010,Female,F,2001,2001,Northeast,CENS-R1,Pennsylvania,42,1015
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Illinois,17,716
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Indiana,18,491
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Michigan,26,805
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Ohio,39,889
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Wisconsin,55,383
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Iowa,19,318
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Kansas,20,217
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Minnesota,27,446
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Missouri,29,321
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,Nebraska,31,118
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,North Dakota,38,37
,Melanoma of the Skin,25010,Female,F,2001,2001,Midwest,CENS-R2,South Dakota,46,50
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Delaware,10,69
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,District of Columbia,11,22
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Florida,12,1432
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Georgia,13,622
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Maryland,24,453
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,North Carolina,37,472
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,South Carolina,45,296
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Virginia,51,422
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,West Virginia,54,144
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Alabama,1,285
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Kentucky,21,415
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Tennessee,47,295
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Arkansas,5,153
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Louisiana,22,197
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Oklahoma,40,187
,Melanoma of the Skin,25010,Female,F,2001,2001,South,CENS-R3,Texas,48,1131
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Arizona,4,408
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Colorado,8,370
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Idaho,16,109
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Montana,30,74
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Nevada,32,143
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,New Mexico,35,157
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Utah,49,172
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Wyoming,56,44
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Alaska,2,35
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,California,6,2520
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Hawaii,15,83
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Oregon,41,389
,Melanoma of the Skin,25010,Female,F,2001,2001,West,CENS-R4,Washington,53,601
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,Connecticut,9,361
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,Maine,23,148
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,Massachusetts,25,726
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,New Hampshire,33,166
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,Rhode Island,44,122
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,Vermont,50,75
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,New Jersey,34,809
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,New York,36,1148
,Melanoma of the Skin,25010,Female,F,2002,2002,Northeast,CENS-R1,Pennsylvania,42,1036
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Illinois,17,699
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Indiana,18,464
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Michigan,26,872
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Ohio,39,878
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Wisconsin,55,377
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Iowa,19,284
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Kansas,20,218
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Minnesota,27,399
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Missouri,29,318
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,Nebraska,31,144
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,North Dakota,38,25
,Melanoma of the Skin,25010,Female,F,2002,2002,Midwest,CENS-R2,South Dakota,46,72
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Delaware,10,54
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,District of Columbia,11,27
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Florida,12,1514
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Georgia,13,653
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Maryland,24,531
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,North Carolina,37,600
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,South Carolina,45,346
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Virginia,51,514
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,West Virginia,54,157
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Alabama,1,283
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Kentucky,21,345
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Tennessee,47,310
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Arkansas,5,131
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Louisiana,22,204
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Oklahoma,40,215
,Melanoma of the Skin,25010,Female,F,2002,2002,South,CENS-R3,Texas,48,1158
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Arizona,4,409
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Colorado,8,406
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Idaho,16,99
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Montana,30,79
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Nevada,32,144
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,New Mexico,35,125
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Utah,49,163
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Wyoming,56,36
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Alaska,2,33
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,California,6,2556
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Hawaii,15,96
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Oregon,41,398
,Melanoma of the Skin,25010,Female,F,2002,2002,West,CENS-R4,Washington,53,597
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,Connecticut,9,358
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,Maine,23,131
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,Massachusetts,25,652
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,New Hampshire,33,177
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,Rhode Island,44,111
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,Vermont,50,99
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,New Jersey,34,724
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,New York,36,1075
,Melanoma of the Skin,25010,Female,F,2003,2003,Northeast,CENS-R1,Pennsylvania,42,1073
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Illinois,17,742
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Indiana,18,489
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Michigan,26,901
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Ohio,39,852
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Wisconsin,55,390
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Iowa,19,227
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Kansas,20,240
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Minnesota,27,441
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Missouri,29,322
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,Nebraska,31,123
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,North Dakota,38,42
,Melanoma of the Skin,25010,Female,F,2003,2003,Midwest,CENS-R2,South Dakota,46,55
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Delaware,10,70
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,District of Columbia,11,24
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Florida,12,1404
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Georgia,13,678
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Maryland,24,469
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,North Carolina,37,609
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,South Carolina,45,343
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Virginia,51,506
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,West Virginia,54,138
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Alabama,1,266
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Kentucky,21,371
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Mississippi,28,169
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Tennessee,47,284
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Arkansas,5,127
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Louisiana,22,188
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Oklahoma,40,270
,Melanoma of the Skin,25010,Female,F,2003,2003,South,CENS-R3,Texas,48,1199
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Arizona,4,450
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Colorado,8,343
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Idaho,16,133
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Montana,30,75
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Nevada,32,180
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,New Mexico,35,145
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Utah,49,198
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Wyoming,56,42
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Alaska,2,30
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,California,6,2523
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Hawaii,15,86
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Oregon,41,372
,Melanoma of the Skin,25010,Female,F,2003,2003,West,CENS-R4,Washington,53,676
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,Connecticut,9,378
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,Maine,23,142
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,Massachusetts,25,736
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,New Hampshire,33,188
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,Rhode Island,44,126
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,Vermont,50,104
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,New Jersey,34,802
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,New York,36,1298
,Melanoma of the Skin,25010,Female,F,2004,2004,Northeast,CENS-R1,Pennsylvania,42,1052
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Illinois,17,767
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Indiana,18,442
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Michigan,26,796
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Ohio,39,1012
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Wisconsin,55,359
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Iowa,19,260
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Kansas,20,239
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Minnesota,27,439
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Missouri,29,409
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,Nebraska,31,140
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,North Dakota,38,46
,Melanoma of the Skin,25010,Female,F,2004,2004,Midwest,CENS-R2,South Dakota,46,56
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Delaware,10,80
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Florida,12,1519
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Georgia,13,736
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Maryland,24,450
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,North Carolina,37,650
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,South Carolina,45,424
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Virginia,51,587
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,West Virginia,54,176
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Alabama,1,319
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Kentucky,21,414
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Mississippi,28,181
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Tennessee,47,476
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Arkansas,5,173
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Louisiana,22,219
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Oklahoma,40,294
,Melanoma of the Skin,25010,Female,F,2004,2004,South,CENS-R3,Texas,48,1138
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Arizona,4,353
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Colorado,8,403
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Idaho,16,154
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Montana,30,70
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Nevada,32,153
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,New Mexico,35,132
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Utah,49,219
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Wyoming,56,51
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Alaska,2,35
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,California,6,2712
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Hawaii,15,117
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Oregon,41,471
,Melanoma of the Skin,25010,Female,F,2004,2004,West,CENS-R4,Washington,53,765
,Melanoma of the Skin,25010,Female,F,2005,2005,Northeast,CENS-R1,Connecticut,9,467
,Melanoma of the Skin,25010,Female,F,2005,2005,Northeast,CENS-R1,Maine,23,159
,Melanoma of the Skin,25010,Female,F,2005,2005,Northeast,CENS-R1,Massachusetts,25,717
,Melanoma of the Skin,25010,Female,F,2005,2005,Northeast,CENS-R1,New Hampshire,33,207
,Melanoma of the Skin,25010,Female,F,2005,2005,Northeast,CENS-R1,Rhode Island,44,127
