Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
KMT2A	lysine methyltransferase 2A	37 / 297 (12.46%)	670 / 14,783	10 / 294 (3.40%)	147 / 294 (50.00%)	43	Cancer Gene Census	add to survival plot
EGFR	epidermal growth factor receptor	37 / 297 (12.46%)	632 / 14,783	132 / 294 (44.90%)	11 / 294 (3.74%)	54	Cancer Gene Census	add to survival plot
CARD11	caspase recruitment domain family member 11	37 / 297 (12.46%)	475 / 14,783	136 / 294 (46.26%)	11 / 294 (3.74%)	54	Cancer Gene Census	add to survival plot
CTNNA2	catenin alpha 2	37 / 297 (12.46%)	648 / 14,783	42 / 294 (14.29%)	38 / 294 (12.93%)	42	Cancer Gene Census	add to survival plot
CYP2C8	cytochrome P450 family 2 subfamily C member 8	36 / 297 (12.12%)	173 / 14,783	6 / 294 (2.04%)	170 / 294 (57.82%)	43	Cancer Gene Census	add to survival plot
FGFR2	fibroblast growth factor receptor 2	36 / 297 (12.12%)	357 / 14,783	7 / 294 (2.38%)	174 / 294 (59.18%)	40	Cancer Gene Census	add to survival plot
USP6	ubiquitin specific peptidase 6	36 / 297 (12.12%)	340 / 14,783	20 / 294 (6.80%)	83 / 294 (28.23%)	45	Cancer Gene Census	add to survival plot
SPEN	spen family transcriptional repressor	36 / 297 (12.12%)	618 / 14,783	43 / 294 (14.63%)	55 / 294 (18.71%)	43	Cancer Gene Census	add to survival plot
RGS7	regulator of G protein signaling 7	36 / 297 (12.12%)	342 / 14,783	135 / 294 (45.92%)	20 / 294 (6.80%)	36	Cancer Gene Census	add to survival plot
EPHA3	EPH receptor A3	35 / 297 (11.78%)	510 / 14,783	47 / 294 (15.99%)	29 / 294 (9.86%)	41	Cancer Gene Census	add to survival plot
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	35 / 297 (11.78%)	292 / 14,783	28 / 294 (9.52%)	56 / 294 (19.05%)	40	Cancer Gene Census	add to survival plot
NACA	nascent polypeptide associated complex subunit alpha	35 / 297 (11.78%)	339 / 14,783	27 / 294 (9.18%)	46 / 294 (15.65%)	49	Cancer Gene Census	add to survival plot
NTRK3	neurotrophic receptor tyrosine kinase 3	34 / 297 (11.45%)	496 / 14,783	64 / 294 (21.77%)	25 / 294 (8.50%)	44	Cancer Gene Census	add to survival plot
RNF213	ring finger protein 213	34 / 297 (11.45%)	742 / 14,783	75 / 294 (25.51%)	43 / 294 (14.63%)	38	Cancer Gene Census	add to survival plot
PDE4DIP	phosphodiesterase 4D interacting protein	33 / 297 (11.11%)	423 / 14,783	127 / 294 (43.20%)	13 / 294 (4.42%)	38	Cancer Gene Census	add to survival plot
GPC5	glypican 5	33 / 297 (11.11%)	333 / 14,783	67 / 294 (22.79%)	54 / 294 (18.37%)	37	Cancer Gene Census	add to survival plot
COL1A1	collagen type I alpha 1 chain	33 / 297 (11.11%)	379 / 14,783	55 / 294 (18.71%)	37 / 294 (12.59%)	45	Cancer Gene Census	add to survival plot
POLQ	DNA polymerase theta	33 / 297 (11.11%)	520 / 14,783	39 / 294 (13.27%)	49 / 294 (16.67%)	36	Cancer Gene Census	add to survival plot
FLT3	fms related receptor tyrosine kinase 3	33 / 297 (11.11%)	357 / 14,783	59 / 294 (20.07%)	50 / 294 (17.01%)	38	Cancer Gene Census	add to survival plot
ATR	ATR serine/threonine kinase	33 / 297 (11.11%)	487 / 14,783	38 / 294 (12.93%)	44 / 294 (14.97%)	40	Cancer Gene Census	add to survival plot
PRKCB	protein kinase C beta	33 / 297 (11.11%)	341 / 14,783	35 / 294 (11.90%)	34 / 294 (11.56%)	35	Cancer Gene Census	add to survival plot
AKAP9	A-kinase anchoring protein 9	33 / 297 (11.11%)	650 / 14,783	143 / 294 (48.64%)	7 / 294 (2.38%)	38	Cancer Gene Census	add to survival plot
CUX1	cut like homeobox 1	32 / 297 (10.77%)	485 / 14,783	141 / 294 (47.96%)	12 / 294 (4.08%)	39	Cancer Gene Census	add to survival plot
NCOR2	nuclear receptor corepressor 2	32 / 297 (10.77%)	500 / 14,783	16 / 294 (5.44%)	54 / 294 (18.37%)	43	Cancer Gene Census	add to survival plot
TET1	tet methylcytosine dioxygenase 1	32 / 297 (10.77%)	449 / 14,783	4 / 294 (1.36%)	161 / 294 (54.76%)	36	Cancer Gene Census	add to survival plot
WNK2	WNK lysine deficient protein kinase 2	32 / 297 (10.77%)	446 / 14,783	17 / 294 (5.78%)	133 / 294 (45.24%)	42	Cancer Gene Census	add to survival plot
BMP5	bone morphogenetic protein 5	32 / 297 (10.77%)	258 / 14,783	98 / 294 (33.33%)	25 / 294 (8.50%)	43	Cancer Gene Census	add to survival plot
CREBBP	CREB binding protein	31 / 297 (10.44%)	669 / 14,783	40 / 294 (13.61%)	50 / 294 (17.01%)	36	Cancer Gene Census	add to survival plot
NRG1	neuregulin 1	31 / 297 (10.44%)	438 / 14,783	50 / 294 (17.01%)	69 / 294 (23.47%)	41	Cancer Gene Census	add to survival plot
SALL4	spalt like transcription factor 4	31 / 297 (10.44%)	368 / 14,783	126 / 294 (42.86%)	5 / 294 (1.70%)	34	Cancer Gene Census	add to survival plot
MET	MET proto-oncogene, receptor tyrosine kinase	31 / 297 (10.44%)	343 / 14,783	153 / 294 (52.04%)	11 / 294 (3.74%)	34	Cancer Gene Census	add to survival plot
FLT4	fms related receptor tyrosine kinase 4	31 / 297 (10.44%)	460 / 14,783	27 / 294 (9.18%)	79 / 294 (26.87%)	47	Cancer Gene Census	add to survival plot
RANBP2	RAN binding protein 2	31 / 297 (10.44%)	529 / 14,783	40 / 294 (13.61%)	32 / 294 (10.88%)	37	Cancer Gene Census	add to survival plot
PDGFRA	platelet derived growth factor receptor alpha	30 / 297 (10.10%)	432 / 14,783	40 / 294 (13.61%)	49 / 294 (16.67%)	33	Cancer Gene Census	add to survival plot
SLC34A2	solute carrier family 34 member 2	30 / 297 (10.10%)	247 / 14,783	35 / 294 (11.90%)	51 / 294 (17.35%)	39	Cancer Gene Census	add to survival plot
PRDM16	PR/SET domain 16	30 / 297 (10.10%)	366 / 14,783	41 / 294 (13.95%)	56 / 294 (19.05%)	47	Cancer Gene Census	add to survival plot
ZEB1	zinc finger E-box binding homeobox 1	30 / 297 (10.10%)	388 / 14,783	14 / 294 (4.76%)	144 / 294 (48.98%)	40	Cancer Gene Census	add to survival plot
POLE	DNA polymerase epsilon, catalytic subunit	30 / 297 (10.10%)	485 / 14,783	16 / 294 (5.44%)	64 / 294 (21.77%)	30	Cancer Gene Census	add to survival plot
ZNF479	zinc finger protein 479	29 / 297 (9.76%)	383 / 14,783	130 / 294 (44.22%)	11 / 294 (3.74%)	34	Cancer Gene Census	add to survival plot
APC	APC regulator of WNT signaling pathway	29 / 297 (9.76%)	1,064 / 14,783	25 / 294 (8.50%)	78 / 294 (26.53%)	31	Cancer Gene Census	add to survival plot
CAMTA1	calmodulin binding transcription activator 1	29 / 297 (9.76%)	469 / 14,783	41 / 294 (13.95%)	57 / 294 (19.39%)	40	Cancer Gene Census	add to survival plot
NUTM1	NUT midline carcinoma family member 1	28 / 297 (9.43%)	305 / 14,783	38 / 294 (12.93%)	57 / 294 (19.39%)	43	Cancer Gene Census	add to survival plot
BCL11B	BAF chromatin remodeling complex subunit BCL11B	28 / 297 (9.43%)	332 / 14,783	22 / 294 (7.48%)	82 / 294 (27.89%)	32	Cancer Gene Census	add to survival plot
BIRC6	baculoviral IAP repeat containing 6	28 / 297 (9.43%)	739 / 14,783	42 / 294 (14.29%)	38 / 294 (12.93%)	40	Cancer Gene Census	add to survival plot
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	28 / 297 (9.43%)	558 / 14,783	27 / 294 (9.18%)	49 / 294 (16.67%)	34	Cancer Gene Census	add to survival plot
BRCA2	BRCA2 DNA repair associated	28 / 297 (9.43%)	555 / 14,783	62 / 294 (21.09%)	50 / 294 (17.01%)	33	Cancer Gene Census	add to survival plot
CIITA	class II major histocompatibility complex transactivator	28 / 297 (9.43%)	314 / 14,783	47 / 294 (15.99%)	24 / 294 (8.16%)	36	Cancer Gene Census	add to survival plot
